Final score = 0.9586
Score Matrix: 
[[ 969    0    0    0    0    1    6    2    2    0]
 [   0 1119    3    3    1    0    4    1    4    0]
 [   9    1  974    6    9    2    9    8   12    2]
 [   0    1   12  963    1   11    0    9    9    4]
 [   1    3    3    0  948    0    6    2    3   16]
 [   7    1    0   14    2  842   11    1    9    5]
 [   8    3    0    1    4    9  931    0    2    0]
 [   2    9   19    3    2    0    0  980    1   12]
 [   6    2    3    9    8    8    7    6  922    3]
 [   8    5    1   12   21    5    1   10    8  938]]
