Final score = 0.9586
Score Matrix: 
[[ 964    0    1    1    0    2    7    2    2    1]
 [   0 1117    3    3    1    1    3    2    5    0]
 [   9    1  977   10    8    1    6   10    9    1]
 [   2    0    8  968    1   12    1    6    9    3]
 [   1    1    3    1  943    0    7    2    4   20]
 [   5    1    3    7    3  848   10    1   10    4]
 [   8    3    4    0    6    8  925    0    4    0]
 [   2   10   22    7    4    0    0  977    0    6]
 [   3    1    3   15    3    6    5    7  928    3]
 [  10    5    1   14   22    4    0    9    5  939]]
