Final score = 0.9585
Score Matrix: 
[[ 968    0    1    0    0    2    4    2    3    0]
 [   0 1119    3    2    0    0    4    2    5    0]
 [  10    2  977    7    9    0    6   13    8    0]
 [   0    0   14  958    1   11    1    9   14    2]
 [   1    0    4    0  946    1    5    1    4   20]
 [   7    2    2   14    3  841   10    3    6    4]
 [   8    3    2    1    5    7  925    1    6    0]
 [   3    7   17    2    3    1    0  983    1   11]
 [   4    3    4    9    4    5    8    7  927    3]
 [   5    5    0   12   19    7    1    8   11  941]]
