Final score = 0.9592
Score Matrix: 
[[ 966    0    0    0    0    3    7    2    2    0]
 [   0 1118    4    1    0    1    4    2    5    0]
 [   9    2  984    7    9    0    6    9    5    1]
 [   3    0   11  958    1    6    1   10   16    4]
 [   1    0    5    1  941    1    7    3    3   20]
 [   7    1    0   14    3  845   10    2    6    4]
 [   7    2    1    1    8    7  927    0    5    0]
 [   3    8   21    3    5    0    0  974    4   10]
 [   6    1    2    5    6    8    7    5  933    1]
 [   7    7    1   13   19    5    1    3    7  946]]
