Final score = 0.9562
Score Matrix: 
[[ 970    0    0    0    0    3    3    1    3    0]
 [   0 1116    2    2    0    1    5    2    7    0]
 [  10    0  979    5    5    1    5   10   15    2]
 [   0    2   14  956    1    7    1    7   15    7]
 [   1    2    3    0  940    0   11    2    3   20]
 [   8    2    1   21    2  826   10    3   12    7]
 [  10    3    4    2    5    7  922    0    5    0]
 [   2    9   20    3    5    0    0  974    3   12]
 [   4    1    3    7    3    6    5    5  938    2]
 [   7    4    2   11   20    4    1   10    9  941]]
