Final score = 0.958
Score Matrix: 
[[ 966    0    1    1    0    4    2    3    3    0]
 [   0 1118    2    2    0    1    4    1    7    0]
 [  10    1  985    6    9    1    3    9    8    0]
 [   1    1   14  961    0   12    0    9    9    3]
 [   1    1    4    0  948    0    5    2    3   18]
 [   5    1    0   16    4  841   10    1    8    6]
 [   8    3    5    1    5   12  920    0    4    0]
 [   3    8   22    3    3    0    0  976    0   13]
 [   5    1    6   10    6    5    7    4  926    4]
 [   6    5    1   14   23    6    1    8    6  939]]
