Final score = 0.9572
Score Matrix: 
[[ 965    0    0    1    0    3    7    1    3    0]
 [   0 1120    1    3    0    1    3    2    5    0]
 [  11    1  972    9    8    1    5   12   12    1]
 [   1    0    7  974    0    8    0    7   10    3]
 [   1    1    4    0  937    1    6    2    2   28]
 [   7    1    0   20    2  834   11    2   10    5]
 [  10    3    3    1    5    7  924    1    4    0]
 [   2    7   18    7    4    0    0  977    0   13]
 [   4    0    4   10    8    3    9    6  928    2]
 [   5    5    1   11   22    5    1   10    8  941]]
