Final score = 0.9581
Score Matrix: 
[[ 965    0    1    1    0    3    7    1    2    0]
 [   0 1118    2    3    1    1    5    2    3    0]
 [   9    0  978    7    7    1    7   12   10    1]
 [   0    0   11  964    1   13    0   11    8    2]
 [   1    0    3    0  943    0   10    3    4   18]
 [   6    1    0   16    2  839   13    3    6    6]
 [   7    3    1    1    5    8  930    0    3    0]
 [   3   10   16    3    2    0    0  978    2   14]
 [   5    2    5   12    5    6    6    7  924    2]
 [   6    7    2   10   20    6    2    7    7  942]]
