Final score = 0.9575
Score Matrix: 
[[ 965    0    1    1    0    4    6    2    1    0]
 [   0 1119    3    4    0    0    3    1    5    0]
 [   7    3  971   12    8    1    8   11   10    1]
 [   0    1   12  968    0   14    0    9    6    0]
 [   1    1    2    0  935    1   10    3    3   26]
 [  10    1    0   17    2  842    8    1    6    5]
 [   9    3    0    0    3   10  930    0    3    0]
 [   1    9   16    6    5    1    0  982    0    8]
 [   4    1    5   11    4    3   12    9  923    2]
 [   8    7    0   11   18    8    1    9    7  940]]
