Final score = 0.9563
Score Matrix: 
[[ 966    0    2    2    0    4    2    1    3    0]
 [   0 1117    2    4    0    1    5    1    5    0]
 [  10    1  976    7    6    0    8    9   14    1]
 [   2    0   10  966    1    9    0   10    8    4]
 [   2    0    4    1  940    0    7    2    4   22]
 [   5    1    0   23    2  833   12    1   11    4]
 [   9    3    5    2    4   10  923    0    2    0]
 [   2    6   18    8    2    0    0  976    2   14]
 [   3    1    4   19    4    6    8    6  920    3]
 [   7    5    1   13   14    7    1    8    7  946]]
