Final score = 0.9593
Score Matrix: 
[[ 965    0    1    2    0    1    6    1    4    0]
 [   0 1117    3    2    0    1    4    1    7    0]
 [  11    1  973    5   10    0    4   14   14    0]
 [   1    0   10  965    2    8    0   12   12    0]
 [   1    0    4    0  934    0   10    5    4   24]
 [   6    2    1   15    3  841   11    1    9    3]
 [   8    3    1    1    5    7  928    0    5    0]
 [   2    8   16    3    1    0    0  987    2    9]
 [   3    0    1    8    6    2    8    6  939    1]
 [   7    7    0    7   16    7    1    9   11  944]]
