Final score = 0.9561
Score Matrix: 
[[ 968    0    0    2    0    1    5    1    2    1]
 [   0 1119    4    2    0    1    3    2    4    0]
 [   8    1  979    5    9    0    9    9   11    1]
 [   0    1   11  967    1   10    1    7    9    3]
 [   2    0    3    0  931    0   12    3    3   28]
 [   8    1    1   22    3  827   11    2   12    5]
 [  10    3    2    1    5    8  927    0    2    0]
 [   3    8   21    6    3    0    0  972    2   13]
 [   5    2    5   11    7    4   11    7  919    3]
 [   9    8    1   10   15    3    1    6    4  952]]
