Final score = 0.9575
Score Matrix: 
[[ 966    0    3    1    0    3    4    2    1    0]
 [   0 1122    2    2    0    0    2    2    5    0]
 [   7    3  979    6    9    0    5   10   12    1]
 [   1    0   14  965    0    6    0   10    8    6]
 [   1    1    4    0  934    1    7    2    4   28]
 [   6    2    0   18    3  837   11    2    8    5]
 [   7    3    4    1    4    8  924    0    7    0]
 [   1    8   21    4    2    1    0  977    1   13]
 [   4    3    3    7    6    8   10    7  924    2]
 [   7    6    1   10   18    8    1    6    5  947]]
