Final score = 0.9587
Score Matrix: 
[[ 969    0    0    0    1    2    4    1    2    1]
 [   0 1120    2    2    0    1    4    2    4    0]
 [  10    1  983    3    8    1    6   13    6    1]
 [   3    1   10  959    1   10    0   11   10    5]
 [   1    1    3    0  944    0    9    1    2   21]
 [   9    1    0   14    4  839   11    3    8    3]
 [  11    3    1    2    5    4  930    0    2    0]
 [   1   12   16    6    5    0    0  979    0    9]
 [   7    2    1   12    6    5    7    6  926    2]
 [  11    6    1   11   19    7    1   12    3  938]]
