Final score = 0.9585
Score Matrix: 
[[ 964    0    2    1    0    3    7    1    2    0]
 [   0 1117    3    2    0    1    3    2    7    0]
 [   8    0  982    5    9    2    8    9    8    1]
 [   1    1   11  967    1    7    1    8    9    4]
 [   1    0    5    0  943    0   10    2    3   18]
 [   6    1    0   15    2  842   10    1    7    8]
 [   7    3    2    1    6    6  926    0    7    0]
 [   1    9   20    3    3    1    0  974    1   16]
 [   2    1    4    9    8    2    8    6  929    5]
 [   6    5    0   14   21    6    1    9    6  941]]
