Final score = 0.9571
Score Matrix: 
[[ 969    0    1    1    0    2    3    1    2    1]
 [   0 1119    3    2    0    0    4    2    5    0]
 [   7    1  985    6    6    1    6    9    9    2]
 [   1    0   16  958    0    4    0    9   15    7]
 [   1    2    5    0  940    0    8    1    2   23]
 [  12    1    0   19    4  830    8    2   10    6]
 [  10    3    2    1    7   11  916    1    7    0]
 [   4   10   20    4    2    0    0  971    2   15]
 [   5    2    2    7    5    4    5    7  934    3]
 [   9    6    2   11   19    1    0    7    5  949]]
