Final score = 0.9586
Score Matrix: 
[[ 967    0    1    1    0    3    4    1    3    0]
 [   0 1119    2    3    0    1    4    2    4    0]
 [   9    0  984    6    8    0    6    8   10    1]
 [   0    0   15  968    1    5    0    7   11    3]
 [   1    2    3    0  935    0    9    1    3   28]
 [   8    2    1   21    1  839   11    1    4    4]
 [  10    3    4    1    6    6  923    0    5    0]
 [   3    8   20    6    4    0    0  974    3   10]
 [   6    3    3    5    3    2    8    3  937    4]
 [  12    5    1   14   19    2    1   10    5  940]]
