Final score = 0.9605
Score Matrix: 
[[ 970    0    1    1    0    2    4    1    1    0]
 [   0 1120    2    2    0    1    5    2    3    0]
 [   9    1  985    4    5    1    6    8   12    1]
 [   0    1   12  969    0    5    2   10    9    2]
 [   1    0    4    0  938    1   11    2    4   21]
 [   7    1    0   14    3  842    9    2   10    4]
 [   7    3    2    2    4   10  927    1    2    0]
 [   0    6   17    7    4    2    0  978    3   11]
 [   4    1    4    9    7    6    9    8  923    3]
 [   6    6    2   11   15    1    1    9    5  953]]
