Final score = 0.9574
Score Matrix: 
[[ 965    0    0    2    0    3    6    1    3    0]
 [   0 1117    4    2    0    1    4    2    5    0]
 [  11    0  980    4    7    0    6   10   13    1]
 [   1    0   17  962    1   13    0    9    7    0]
 [   1    0    4    0  944    0    7    1    3   22]
 [   8    0    1   16    2  844    9    1    8    3]
 [   8    3    3    1    5    9  925    1    3    0]
 [   2    7   19    8    6    0    0  971    0   15]
 [   3    2    4    8    5    3   12   11  923    3]
 [   8    7    1   15   19    3    1    8    4  943]]
