Final score = 0.9589
Score Matrix: 
[[ 968    0    0    2    0    3    4    2    1    0]
 [   0 1121    2    3    0    0    4    0    5    0]
 [   7    1  985    4    7    1    5    7   12    3]
 [   0    0   13  972    0    4    1   11    8    1]
 [   1    1    3    0  934    0   11    2    2   28]
 [   7    2    0   21    3  828   11    2   13    5]
 [  11    3    4    1    4    5  924    1    5    0]
 [   3    9   21    4    2    0    0  977    2   10]
 [   6    3    5    8    5    4    6    3  929    5]
 [   8    7    1   11   15    1    1    6    8  951]]
