Final score = 0.9586
Score Matrix: 
[[ 966    0    1    1    0    2    6    1    3    0]
 [   0 1118    2    2    0    1    4    2    6    0]
 [   9    1  968    8    8    0    8    9   20    1]
 [   1    0   10  969    0    9    0    8   10    3]
 [   1    0    3    1  944    0   12    1    5   15]
 [   7    2    0   14    3  841    8    5    7    5]
 [   8    3    1    1    6    8  925    0    6    0]
 [   1   12   18    3    5    0    0  977    1   11]
 [   4    3    3    8    4    3    5    4  938    2]
 [   5    5    0   13   22    9    1    8    6  940]]
