Final score = 0.9582
Score Matrix: 
[[ 967    0    1    1    0    3    5    1    2    0]
 [   0 1116    3    2    0    1    5    2    6    0]
 [  11    0  986    5   11    0    4    8    7    0]
 [   0    1   15  949    2   15    0   12   10    6]
 [   1    0    3    0  954    0    6    3    2   13]
 [   8    1    0    8    3  846   10    2    7    7]
 [   9    2    3    1    4   11  926    0    2    0]
 [   2    9   16    2    5    0    0  987    0    7]
 [   5    2    5    5    7    8    7    6  928    1]
 [  10    7    1    8   25   10    2   15    8  923]]
