Final score = 0.9599
Score Matrix: 
[[ 969    0    1    2    0    0    4    1    2    1]
 [   0 1115    4    2    0    1    3    2    8    0]
 [   8    0  989    6    7    0    6    8    7    1]
 [   0    0   13  973    0    5    0    8    9    2]
 [   1    1    3    0  935    0    9    2    6   25]
 [   8    1    0   19    2  836    9    1   12    4]
 [  11    3    0    2    4    8  927    0    3    0]
 [   4    9   20    7    1    1    0  975    0   11]
 [   4    1    3    8    5    1    5    7  938    2]
 [   8    6    1   13   16    6    2    6    9  942]]
