Final score = 0.9592
Score Matrix: 
[[ 965    0    1    1    0    5    5    2    1    0]
 [   0 1117    2    3    0    1    3    2    7    0]
 [   9    1  981    5    5    1    8   10   10    2]
 [   0    0   10  961    0   18    0    8   10    3]
 [   1    2    5    0  935    0    9    3    3   24]
 [   7    2    0   12    2  845   10    1    8    5]
 [   6    2    1    1    3    9  932    1    3    0]
 [   2    8   19    4    5    0    0  977    1   12]
 [   6    1    2   10    6   10    6    5  924    4]
 [   8    3    1   11   12    4    1   10    4  955]]
