Final score = 0.9579
Score Matrix: 
[[ 968    0    1    0    0    4    4    2    1    0]
 [   0 1115    2    4    1    1    5    2    5    0]
 [   7    1  982    3    5    2    7    9   14    2]
 [   1    0   12  957    3   10    0   11   11    5]
 [   1    1    3    0  943    0    7    2    2   23]
 [   7    1    2   12    2  842    9    2    8    7]
 [  13    2    2    2    5    8  922    1    3    0]
 [   2    9   17    4    6    1    0  975    0   14]
 [   8    2    5    3    7    5    7    6  928    3]
 [   8    7    0    9   17    3    1    9    8  947]]
