Final score = 0.9591
Score Matrix: 
[[ 966    0    2    3    0    2    5    1    1    0]
 [   0 1119    3    2    0    2    4    1    4    0]
 [   7    2  984    6    7    2    5    8    8    3]
 [   1    0   13  968    0    7    0   10   10    1]
 [   1    1    5    0  938    0    9    1    2   25]
 [   4    2    0   17    2  851    7    1    5    3]
 [  10    3    3    2    7    8  920    1    4    0]
 [   2    9   20    4    2    1    0  978    0   12]
 [   4    2    5   12    6   11    7    7  918    2]
 [   7    6    1   11   15    5    1    8    6  949]]
